Timeseries,kW,W
2023-07-13 05:45:00+02:00,0.29,290
2023-07-13 06:00:00+02:00,0.56,560
2023-07-13 06:15:00+02:00,0.79,790
2023-07-13 06:30:00+02:00,1.07,1070
2023-07-13 06:45:00+02:00,0.88,880
2023-07-13 07:00:00+02:00,1.02,1020
2023-07-13 07:15:00+02:00,1.66,1660
2023-07-13 07:30:00+02:00,2.94,2940
2023-07-13 07:45:00+02:00,2.74,2740
2023-07-13 08:00:00+02:00,4.880000001,4880.000001
2023-07-13 08:15:00+02:00,3.39,3390
2023-07-13 08:30:00+02:00,3.410000001,3410.000001
2023-07-13 08:45:00+02:00,3.75,3750
2023-07-13 09:00:00+02:00,3.429999999,3429.999999
2023-07-13 09:15:00+02:00,4.310000001,4310.000001
2023-07-13 09:30:00+02:00,2.96,2960
2023-07-13 09:45:00+02:00,2.18,2180
2023-07-13 10:00:00+02:00,2.27,2270
2023-07-13 10:15:00+02:00,4.14,4140
2023-07-13 10:30:00+02:00,3.530000001,3530.000001
2023-07-13 10:45:00+02:00,1.78,1780
2023-07-13 11:00:00+02:00,4.670000001,4670.000001
2023-07-13 11:15:00+02:00,5.739999999,5739.999999
2023-07-13 11:30:00+02:00,8.439999999,8439.999999
2023-07-13 11:45:00+02:00,15.46,15460
2023-07-13 12:00:00+02:00,18.48,18480
2023-07-13 12:15:00+02:00,19.13,19130
2023-07-13 12:30:00+02:00,16.92,16920
2023-07-13 12:45:00+02:00,18.2,18200
2023-07-13 13:00:00+02:00,22.1,22100
2023-07-13 13:15:00+02:00,22.71,22710
2023-07-13 13:30:00+02:00,27.01,27010
2023-07-13 13:45:00+02:00,20.68,20680
2023-07-13 14:00:00+02:00,15.57,15570
2023-07-13 14:15:00+02:00,15.74,15740
2023-07-13 14:30:00+02:00,21.68,21680
2023-07-13 14:45:00+02:00,26.13,26130
2023-07-13 15:00:00+02:00,24.32,24320
2023-07-13 15:15:00+02:00,12.58,12580
2023-07-13 15:30:00+02:00,10.84,10840
2023-07-13 15:45:00+02:00,13.46,13460
2023-07-13 16:00:00+02:00,16.14,16140
2023-07-13 16:15:00+02:00,19.64,19640
2023-07-13 16:30:00+02:00,18.16,18160
2023-07-13 16:45:00+02:00,16.98,16980
2023-07-13 17:00:00+02:00,15.48,15480
2023-07-13 17:15:00+02:00,13.95,13950
2023-07-13 17:30:00+02:00,12.38,12380
2023-07-13 17:45:00+02:00,10.81,10810
2023-07-13 18:00:00+02:00,9.230000001,9230.000001
2023-07-13 18:15:00+02:00,7.68,7680
2023-07-13 18:30:00+02:00,6.18,6180
2023-07-13 18:45:00+02:00,4.74,4740
