time,cost (€/MWh),cost (€/kWh)
2024-01-18 21:00:00+01:00,0.000287429,0.287429
2024-01-18 21:15:00+01:00,0.000287429,0.287429
2024-01-18 21:30:00+01:00,0.000287429,0.287429
2024-01-18 21:45:00+01:00,0.000287429,0.287429
2024-01-18 22:00:00+01:00,0.000284686,0.284686
2024-01-18 22:15:00+01:00,0.000284686,0.284686
2024-01-18 22:30:00+01:00,0.000284686,0.284686
2024-01-18 22:45:00+01:00,0.000284686,0.284686
2024-01-18 23:00:00+01:00,0.000275516,0.275516
2024-01-18 23:15:00+01:00,0.000275516,0.275516
2024-01-18 23:30:00+01:00,0.000275516,0.275516
2024-01-18 23:45:00+01:00,0.000275516,0.275516
2024-01-19 00:00:00+01:00,0.000271721,0.271721
2024-01-19 00:15:00+01:00,0.000271721,0.271721
2024-01-19 00:30:00+01:00,0.000271721,0.271721
2024-01-19 00:45:00+01:00,0.000271721,0.271721
2024-01-19 01:00:00+01:00,0.000267174,0.267174
2024-01-19 01:15:00+01:00,0.000267174,0.267174
2024-01-19 01:30:00+01:00,0.000267174,0.267174
2024-01-19 01:45:00+01:00,0.000267174,0.267174
2024-01-19 02:00:00+01:00,0.00026552,0.26552
2024-01-19 02:15:00+01:00,0.00026552,0.26552
2024-01-19 02:30:00+01:00,0.00026552,0.26552
2024-01-19 02:45:00+01:00,0.00026552,0.26552
2024-01-19 03:00:00+01:00,0.000261925,0.261925
2024-01-19 03:15:00+01:00,0.000261925,0.261925
2024-01-19 03:30:00+01:00,0.000261925,0.261925
2024-01-19 03:45:00+01:00,0.000261925,0.261925
2024-01-19 04:00:00+01:00,0.000262627,0.262627
2024-01-19 04:15:00+01:00,0.000262627,0.262627
2024-01-19 04:30:00+01:00,0.000262627,0.262627
2024-01-19 04:45:00+01:00,0.000262627,0.262627
2024-01-19 05:00:00+01:00,0.000267825,0.267825
2024-01-19 05:15:00+01:00,0.000267825,0.267825
2024-01-19 05:30:00+01:00,0.000267825,0.267825
2024-01-19 05:45:00+01:00,0.000267825,0.267825
2024-01-19 06:00:00+01:00,0.00028094,0.28094
2024-01-19 06:15:00+01:00,0.00028094,0.28094
2024-01-19 06:30:00+01:00,0.00028094,0.28094
2024-01-19 06:45:00+01:00,0.00028094,0.28094
2024-01-19 07:00:00+01:00,0.000292502,0.292502
2024-01-19 07:15:00+01:00,0.000292502,0.292502
2024-01-19 07:30:00+01:00,0.000292502,0.292502
2024-01-19 07:45:00+01:00,0.000292502,0.292502
2024-01-19 08:00:00+01:00,0.000313922,0.313922
2024-01-19 08:15:00+01:00,0.000313922,0.313922
2024-01-19 08:30:00+01:00,0.000313922,0.313922
